           Gene_0    Gene_1    Gene_2    Gene_3    Gene_4    Gene_5    Gene_6  \
Cell_0   0.000000  0.693147  0.693147  0.693147  0.693147  0.693147  0.000000   
Cell_1   0.000000  0.693147  0.000000  0.693147  0.000000  0.693147  1.098612   
Cell_2   0.693147  1.098612  1.098612  1.386294  0.000000  0.693147  1.098612   
Cell_3   0.000000  1.098612  0.693147  0.693147  0.000000  0.693147  0.000000   
Cell_4   0.000000  0.693147  1.386294  0.693147  0.693147  1.609438  0.693147   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.000000  0.693147  1.098612  0.693147  1.098612  0.000000  0.693147   
Cell_96  1.098612  0.000000  0.693147  0.000000  1.098612  1.098612  1.098612   
Cell_97  0.693147  0.693147  0.000000  1.386294  0.693147  0.693147  1.098612   
Cell_98  0.000000  0.693147  0.000000  0.693147  0.693147  0.000000  1.386294   
Cell_99  1.098612  1.386294  0.693147  1.098612  0.000000  0.000000  1.386294   

           Gene_7    Gene_8    Gene_9   Gene_10   Gene_11   Gene_12   Gene_13  \
Cell_0   0.000000  0.693147  0.000000  0.000000  0.000000  0.000000  1.098612   
Cell_1   1.098612  1.098612  0.000000  0.693147  0.693147  0.693147  1.098612   
Cell_2   0.693147  0.000000  0.693147  0.693147  0.000000  0.000000  1.386294   
Cell_3   1.386294  1.098612  0.693147  1.386294  0.693147  0.693147  1.098612   
Cell_4   0.000000  0.693147  0.693147  0.000000  0.693147  0.000000  0.000000   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.693147  0.693147  0.000000  0.693147  1.098612  0.000000  0.000000   
Cell_96  0.000000  0.000000  0.000000  0.000000  0.693147  0.000000  0.693147   
Cell_97  1.098612  0.693147  0.000000  0.693147  0.693147  0.000000  0.693147   
Cell_98  0.000000  0.693147  0.693147  0.000000  1.098612  0.000000  1.098612   
Cell_99  1.098612  1.098612  0.000000  0.000000  0.000000  1.609438  1.098612   

          Gene_14   Gene_15   Gene_16   Gene_17   Gene_18   Gene_19   Gene_20  \
Cell_0   0.000000  1.098612  1.098612  1.098612  0.693147  0.000000  1.098612   
Cell_1   0.000000  0.000000  0.000000  0.693147  1.386294  0.000000  1.386294   
Cell_2   0.000000  0.693147  1.098612  0.000000  1.386294  1.386294  1.098612   
Cell_3   0.693147  1.098612  0.000000  1.098612  0.693147  1.098612  1.386294   
Cell_4   0.693147  0.000000  0.693147  0.000000  0.000000  1.098612  0.693147   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.000000  0.000000  0.693147  1.609438  0.000000  0.000000  0.693147   
Cell_96  0.000000  1.098612  0.000000  1.098612  1.386294  0.693147  0.693147   
Cell_97  0.000000  0.000000  0.000000  0.693147  0.000000  0.693147  0.693147   
Cell_98  0.000000  0.693147  1.098612  0.693147  0.000000  1.098612  0.000000   
Cell_99  0.693147  0.000000  0.693147  0.693147  0.693147  0.000000  0.693147   

          Gene_21   Gene_22   Gene_23   Gene_24   Gene_25   Gene_26   Gene_27  \
Cell_0   0.000000  0.693147  0.693147  0.693147  0.000000  0.000000  0.000000   
Cell_1   0.693147  0.000000  0.000000  0.000000  0.693147  1.386294  1.609438   
Cell_2   0.000000  0.000000  0.693147  0.693147  0.693147  0.693147  0.693147   
Cell_3   0.693147  0.693147  0.693147  1.098612  0.693147  0.693147  0.693147   
Cell_4   1.386294  0.000000  0.693147  1.098612  0.000000  0.693147  0.693147   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.693147  1.386294  1.098612  0.693147  0.000000  0.693147  0.000000   
Cell_96  0.693147  1.098612  0.693147  1.098612  0.693147  0.693147  1.098612   
Cell_97  1.386294  0.000000  1.098612  0.693147  0.693147  0.693147  0.000000   
Cell_98  0.693147  1.609438  0.693147  0.693147  0.000000  1.098612  0.693147   
Cell_99  0.000000  0.693147  0.693147  1.098612  0.693147  0.000000  0.693147   

          Gene_28   Gene_29   Gene_30   Gene_31   Gene_32   Gene_33   Gene_34  \
Cell_0   0.000000  1.098612  0.693147  0.000000  1.098612  1.386294  1.609438   
Cell_1   1.098612  0.000000  1.098612  1.098612  0.693147  0.000000  0.693147   
Cell_2   0.000000  0.693147  0.000000  1.098612  0.000000  0.000000  1.098612   
Cell_3   0.000000  1.098612  1.386294  0.000000  1.098612  0.693147  1.609438   
Cell_4   0.693147  0.693147  0.000000  0.000000  1.098612  0.693147  1.098612   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.000000  0.693147  0.693147  0.000000  1.098612  0.693147  0.000000   
Cell_96  0.000000  1.609438  0.000000  1.098612  0.693147  0.693147  1.386294   
Cell_97  0.693147  1.098612  0.000000  1.098612  1.098612  0.000000  0.000000   
Cell_98  0.693147  1.386294  0.000000  0.693147  0.693147  0.693147  0.000000   
Cell_99  0.693147  1.098612  0.693147  0.693147  0.000000  1.098612  0.000000   

